FID_,MAPBLKLOT,BLKLOT,BLOCK_NUM,LOT_NUM,address,LabelField,source,LowAddress,HighAddres,StreetName,StreetType,SHAPE_area,SHAPE_len,X,full/partial
,1894001,1894001,1894,001,4401 48TH AV,4401,DBI,4401,4401,48TH,AVE,1889.995334,185.999847,0,full
,3911001,3911001,3911,001,1 DIVISION ST,1,DBI,1,1,DIVISION,ST,72126.76346,1120.503582,0,full
,3910001,3910001,3910,001,2-98 HENRY ADAMS ST,Feb-98,DBI,2,98,HENRY ADAMS,ST,67272.20718,1067.86371,0,full
,3909001,3909001,3909,001,195 DIVISION ST,195,DBI,195,195,DIVISION,ST,16284.64823,554.446999,0,full
,3912001,3912001,3912,001,1-45 RHODE ISLAND ST,Jan-45,DBI,1,45,RHODE ISLAND,ST,10064.60295,502.584796,0,full
,3908001,3908001,3908,001, , ,ASSESSOR,0,0, , ,8006.039105,476.759071,0,full
,3914001,3914001,3914,001,111-135 ALAMEDA ST,111-135,DBI,111,135,ALAMEDA,ST,24311.75689,688.549248,0,full
,3915001,3915001,3915,001,101 HENRY ADAMS ST,101,DBI,101,101,HENRY ADAMS,ST,19675.8401,595.254084,0,full
,3925001,3925001,3925,001, V, ,ASSESSOR,0,0,V, ,3238.242761,304.035791,0,full
,3939001,3939001,3939,001,1330 16TH ST,1330,DBI,1330,1330,16TH,ST,54911.23295,1056.783005,0,full
,3926001,3926001,3926,001,268-278 ALABAMA ST,268-278,DBI,268,278,ALABAMA,ST,16901.17585,669.236575,0,full
,3939A001,3939A001,3939A,001,1200-1220 16TH ST,1200-1220,DBI,1200,1220,16TH,ST,1772.242043,204.404079,0,full
,3949001,3949001,3949,001,901-941 16TH ST,901-941,DBI,901,941,16TH,ST,47818.68106,872.114606,0,full
,3951001,3951001,3951,001,1001 16TH ST,1001,DBI,1001,1001,16TH,ST,20049.26527,600.985293,0,full
,3952001,3952001,3952,001,2 CONNECTICUT ST,2,DBI,2,2,CONNECTICUT,ST,12075.52454,563.31955,0,full
,3955001,3955001,3955,001,1700 16TH ST,1700,DBI,1700,1700,16TH,ST,17625.11155,620.003983,0,full
,3968001,3968001,3968,001,400-440 ALABAMA ST,400-440,DBI,400,440,ALABAMA,ST,24666.60176,646.352084,0,full
,1803001,1803001,1803,001,1301 48TH AV,1301,DBI,1301,1301,48TH,AVE,1781.936702,192.007291,0,full
,1804001,1804001,1804,001,1301 LA PLAYA,1301,ASSESSOR,1301,1301,LA PLAYA, ,12963.91605,1240.851353,0,full
,8731001,8731001,8731,001,213 CHANNEL ST,213,DBI,213,213,CHANNEL,ST,53619.82906,1045.973838,0,full
,8700001,8700001,8700,001,580 KING ST,580,DBI,580,580,KING,ST,226891.4877,2200.120025,0,full
,8730001,8730001,8730,001,401-451 BERRY ST,401-451,DBI,401,451,BERRY,ST,93977.7602,1388.171485,0,full
,8732001,8732001,8732,001, , ,ASSESSOR,0,0, , ,15241.86919,536.467623,0,full
,8716001,8716001,8716,001,525 NELSON RISING LN,525,DBI,525,525,NELSON RISING,LN,22585.17823,821.37787,0,full
,8726001,8726001,8726,001, , ,ASSESSOR,0,0, , ,8603.09736,472.441458,0,full
,8717001,8717001,8717,001, , ,ASSESSOR,0,0, , ,28099.98762,940.499817,0,full
,8722001,8722001,8722,001,5 16TH ST,5,DBI,5,5,16TH,ST,522185.2612,2956.063098,0,full
,8718001,8718001,8718,001,600 16TH ST,600,DBI,600,600,16TH,ST,27309.85347,912.777599,0,full
,8729001,8729001,8729,001, , ,ASSESSOR,0,0, , ,23687.13033,851.551249,0,full
,1702001,1702001,1702,001,1201 48TH AV,1201,DBI,1201,1201,48TH,AVE,1437.502448,165.00035,0,full
,3572001,3572001,3572,001,300 16TH ST,300,DBI,300,300,16TH,ST,24024.54796,629.47559,0,full
,3571001,3571001,3571,001,2000 FOLSOM ST,2000,DBI,2000,2000,FOLSOM,ST,5777.52907,336.292194,0,full
,3570001,3570001,3570,001,2901-2929 16TH ST,2901-2929,DBI,2901,2929,16TH,ST,15015.47193,521.678491,0,full
,3569001,3569001,3569,001,3007-3009 16TH ST,3007-3009,DBI,3007,3009,16TH,ST,9774.2349,395.484688,0,full
,3574001,3574001,3574,001,2100 FOLSOM ST,2100,DBI,2100,2100,FOLSOM,ST,2495.015061,249.600988,0,full
,3576001,3576001,3576,001,2100-2104 MISSION ST,2100-2104,DBI,2100,2104,MISSION,ST,6430.922151,323.740581,0,full
,3577001,3577001,3577,001,610 VALENCIA ST,610,DBI,610,610,VALENCIA,ST,17554.72773,556.334143,0,full
,3587001,3587001,3587,001,600 18TH ST,600,DBI,600,600,18TH,ST,7024.173935,460.66446,0,full
,3593001,3593001,3593,001,3101-3149 19TH ST,3101-3149,DBI,3101,3149,19TH,ST,38996.67023,808.35237,0,full
,3596001,3596001,3596,001,2300 MISSION ST,2300,DBI,2300,2300,MISSION,ST,2422.117377,236.838493,0,full
,1205001,1205001,1205,001,463-465 BRODERICK ST,463-465,DBI,463,465,BRODERICK,ST,1237.498686,148.999917,0,full
,1217001,1217001,1217,001,3630 SCOTT ST,3630,DBI,3630,3630,SCOTT,ST,2564.937797,260.781228,0,full
,1214001,1214001,1214,001,1301-1303 FELL ST,1301-1303,DBI,1301,1303,FELL,ST,2500.00755,250.000188,0,full
,1218001,1218001,1218,001,1101 OAK ST,1101,DBI,1101,1101,OAK,ST,3785.973527,250.959312,0,full
,3506001,3506001,3506,001,1 SOUTH VAN NESS AV,1,DBI,1,1,SOUTH VAN NESS,AVE,64296.67587,1060.88345,0,full
,3510001,3510001,3510,001,1415 MISSION ST,1415,DBI,1415,1415,MISSION,ST,11273.80436,425.318056,0,full
,3518001,3518001,3518,001,1301-1315 HOWARD ST,1301-1315,DBI,1301,1315,HOWARD,ST,10362.89045,407.257815,0,full
,3505001,3505001,3505,001,1601-1605 MARKET ST,1601-1605,DBI,1601,1605,MARKET,ST,8252.571879,483.420616,0,full
,3511001,3511001,3511,001,1513 MISSION ST,1513,DBI,1513,1513,MISSION,ST,7230.907583,340.71528,0,full
,3519001,3519001,3519,001,1301-1303 FOLSOM ST,1301-1303,DBI,1301,1303,FOLSOM,ST,13580.35459,471.617345,0,full
,3516001,3516001,3516,001,1501 HOWARD ST,1501,DBI,1501,1501,HOWARD,ST,5767.198523,310.871513,0,full
,3525001,3525001,3525,001,1301 HARRISON ST,1301,DBI,1301,1301,HARRISON,ST,7625.410545,352.885737,0,full
,3520001,3520001,3520,001,1401 FOLSOM ST,1401,DBI,1401,1401,FOLSOM,ST,6159.65965,323.193249,0,full
,3530001,3530001,3530,001,135 13TH ST,135,DBI,135,135,13TH,ST,7858.323148,523.381277,0,full
,3526001,3526001,3526,001,1111 BRYANT ST,1111,DBI,1111,1111,BRYANT,ST,27370.55728,837.165795,0,full
,3523001,3523001,3523,001,1501-1511 HARRISON ST,1501-1511,DBI,1501,1511,HARRISON,ST,34404.59447,759.440049,0,full
,3528001,3528001,3528,001,1201 10TH ST,1201,DBI,1201,1201,10TH,ST,44125.61634,896.968634,0,full
,3532001,3532001,3532,001,1700 MISSION ST,1700,DBI,1700,1700,MISSION,ST,2150.944922,201.455631,0,full
,3533001,3533001,3533,001,105-109 DUBOCE AV,105-109,DBI,105,109,DUBOCE,AVE,2875.192748,243.699317,0,full
,3527001,3527001,3527,001,1001 BRANNAN ST,1001,DBI,1001,1001,BRANNAN,ST,27792.10042,694.784241,0,full
,3550001,3550001,3550,001,1810-1812 14TH ST,1810-1812,DBI,1810,1812,14TH,ST,9122.391679,382.599839,0,full
,3544001,3544001,3544,001,100 DOLORES ST,100,DBI,100,100,DOLORES,ST,3068.401415,262.206786,0,full
,3541001,3541001,3541,001,106 SANCHEZ ST,106,DBI,106,106,SANCHEZ,ST,5807.745241,320.443341,0,full
,3546001,3546001,3546,001,300-320 VALENCIA ST,300-320,DBI,300,320,VALENCIA,ST,12997.52533,459.96194,0,full
,3552001,3552001,3552,001,1900-1902 FOLSOM ST,1900-1902,DBI,1900,1902,FOLSOM,ST,2802.007729,271.266938,0,full
,3555001,3555001,3555,001,400 VALENCIA ST,400,DBI,400,400,VALENCIA,ST,5198.843498,354.603365,0,full
,3556001,3556001,3556,001,1801 15TH ST,1801,DBI,1801,1801,15TH,ST,2454.298222,218.314475,0,full
,3543001,3543001,3543,001,2101-2111 CHURCH ST,2101-2111,DBI,2101,2111,CHURCH,ST,6510.1035,368.356323,0,full
,3551001,3551001,3551,001,1940 HARRISON ST,1940,DBI,1940,1940,HARRISON,ST,268293.1266,2044.625051,0,full
,846001,846001,846,001,257-263 PIERCE ST,257-263,DBI,257,263,PIERCE,ST,2499.831028,208.32434,0,full
,862001,862001,862,001,701-705 HAIGHT ST,701-705,DBI,701,705,HAIGHT,ST,2364.681562,229.459937,0,full
,3801001,3801001,3801,001,770-788 THE EMBARCADERO,770-788,ASSESSOR,770,788,THE EMBARCADERO, ,89422.77089,1419.537211,0,full
,3802001,3802001,3802,001, , ,ASSESSOR,0,0, , ,21210.66468,708.924233,0,full
,3807001,3807001,3807,001,900-960 07TH ST,900-960,DBI,900,960,07TH,ST,71999.99141,1080.000205,0,full
,3833001,3833001,3833,001,1380 07TH ST,1380,DBI,1380,1380,07TH,ST,38252.00131,816.000325,0,full
,3834001,3834001,3834,001,1400 07TH ST,1400,DBI,1400,1400,07TH,ST,16309.76738,619.492773,0,full
,814001,814001,814,001,69 HAYES ST,69,DBI,69,69,HAYES,ST,6193.474979,325.211829,0,full
,835001,835001,835,001,1400-1420 MARKET ST,1400-1420,DBI,1400,1420,MARKET,ST,8827.904033,438.786511,0,full
,836001,836001,836,001,1500 MARKET ST,1500,DBI,1500,1500,MARKET,ST,1095.259034,147.74978,0,full
,847001,847001,847,001,399 STEINER ST,399,DBI,399,399,STEINER,ST,2559.715832,228.736395,0,full
,856001,856001,856,001,47-59 OCTAVIA ST,47-59,DBI,47,59,OCTAVIA,ST,3697.993389,273.908837,0,full
,347001,347001,347,001,303 GOLDEN GATE AV,303,DBI,303,303,GOLDEN GATE,AVE,18564.86603,545.016009,0,full
,351001,351001,351,001,1100-1108 MARKET ST,1100-1108,DBI,1100,1108,MARKET,ST,9324.137522,469.183918,0,full
,342001,342001,342,001,950-964 MARKET ST,950-964,DBI,950,964,MARKET,ST,8931.79021,440.621469,0,full
,343001,343001,343,001,101-105 TAYLOR ST,101-105,DBI,101,105,TAYLOR,ST,19024.84839,551.725084,0,full
,345001,345001,345,001,151-161 LEAVENWORTH ST,151-161,DBI,151,161,LEAVENWORTH,ST,3063.915933,245.032426,0,full
,346001,346001,346,001,149-161 HYDE ST,149-161,DBI,149,161,HYDE,ST,5175.001205,290.600125,0,full
,350001,350001,350,001,1000-1108 MARKET ST,1000-1108,DBI,1000,1108,MARKET,ST,7836.022518,412.927477,0,full
,349001,349001,349,001,101-121 GOLDEN GATE AV,101-121,DBI,101,121,GOLDEN GATE,AVE,14393.00432,553.319467,0,full
,3780001,3780001,3780,001,502 07TH ST,502,DBI,502,502,07TH,ST,3999.997087,259.999945,0,full
,3757001,3757001,3757,001,1201 HARRISON ST,1201,DBI,1201,1201,HARRISON,ST,16962.53056,525.00129,0,full
,3783001,3783001,3783,001,801 BRANNAN ST,801,DBI,801,801,BRANNAN,ST,226485.7261,2197.171258,0,full
,3799001,3799001,3799,001,601 07TH ST,601,DBI,601,601,07TH,ST,75804.43458,1101.306483,0,full
,3782001,3782001,3782,001,700 08TH ST,700,DBI,700,700,08TH,ST,7603.252154,349.52332,0,full
,240001,240001,240,001,451-465 MONTGOMERY ST,451-465,DBI,451,465,MONTGOMERY,ST,7907.763513,367.127758,0,full
,242001,242001,242,001,665-669 GRANT AV,665-669,DBI,665,669,GRANT,AVE,2363.395819,206.260144,0,full
,260001,260001,260,001,401-425 CALIFORNIA ST,401-425,DBI,401,425,CALIFORNIA,ST,7656.282132,350.001393,0,full
,266001,266001,266,001,101-111 PINE ST,101-111,DBI,101,111,PINE,ST,12634.06755,458.985996,0,full
,267001,267001,267,001,201-221 PINE ST,201-221,DBI,201,221,PINE,ST,4468.448116,286.661375,0,full
,268001,268001,268,001,155 PINE ST,155,DBI,155,155,PINE,ST,15189.31567,507.931835,0,full
,291001,291001,291,001,1-15 MARKET ST,15-Jan,DBI,1,15,MARKET,ST,2974.527931,240.766071,0,full
,3714001,3714001,3714,001, , ,ASSESSOR,0,0, , ,6086.647129,357.267472,0,full
,3715001,3715001,3715,001,100 MISSION ST,100,DBI,100,100,MISSION,ST,5906.457862,362.976701,0,full
,3717001,3717001,3717,001,100 SPEAR ST,100,DBI,100,100,SPEAR,ST,12797.75486,461.662235,0,full
,3740001,3740001,3740,001,101 HOWARD ST,101,DBI,101,101,HOWARD,ST,18881.51588,549.696341,0,full
,3721001,3721001,3721,001,100-104 01ST ST,100-104,DBI,100,104,01ST,ST,3750.013256,250.000926,0,full
,3769001,3769001,3769,001, , ,ASSESSOR,0,0, , ,34014.07138,873.63879,0,full
,3722001,3722001,3722,001,601-609 MISSION ST,601-609,DBI,601,609,MISSION,ST,7907.526014,359.465433,0,full
,3770001,3770001,3770,001, , ,ASSESSOR,0,0, , ,9185.402376,544.887178,0,full
,3706001,3706001,3706,001,701-703 MARKET ST,701-703,DBI,701,703,MARKET,ST,5217.908749,289.144268,0,full
,3703001,3703001,3703,001,1001-1005 MARKET ST,1001-1005,DBI,1001,1005,MARKET,ST,6125.002671,370.000477,0,full
,3752001,3752001,3752,001,300 04TH ST,300,DBI,300,300,04TH,ST,3624.937656,247.03911,0,full
,3791001,3791001,3791,001,602 THE EMBARCADERO,602,ASSESSOR,602,602,THE EMBARCADERO, ,13858.53004,522.004079,0,full
,3790001,3790001,3790,001,600 THE EMBARCADERO,600,ASSESSOR,600,600,THE EMBARCADERO, ,98045.44773,1355.234905,0,full
,3704001,3704001,3704,001,901 MARKET ST,901,DBI,901,901,MARKET,ST,28734.41821,678.544146,0,full
,3702001,3702001,3702,001,1101-1105 07TH ST,1101-1105,DBI,1101,1105,07TH,ST,10449.88211,428.663647,0,full
,3753001,3753001,3753,001,300 05TH ST,300,DBI,300,300,05TH,ST,8821.185551,385.231975,0,full
,3731001,3731001,3731,001,200-214 06TH ST,200-214,DBI,200,214,06TH,ST,9877.554476,408.7344,0,full
,3777001,3777001,3777,001,500-504 04TH ST,500-504,DBI,500,504,04TH,ST,2227.331169,215.684508,0,full
,3727001,3727001,3727,001,114 07TH ST,114,DBI,114,114,07TH,ST,21948.44173,617.654186,0,full
,3726001,3726001,3726,001,100 06TH ST,100,DBI,100,100,06TH,ST,1875.002776,200.000202,0,full
,3760001,3760001,3760,001,400 05TH ST,400,DBI,400,400,05TH,ST,7000.005002,335.000386,0,full
,3754001,3754001,3754,001,1001 FOLSOM ST,1001,DBI,1001,1001,FOLSOM,ST,4592.881551,272.649597,0,full
,3729001,3729001,3729,001,1201 HOWARD ST,1201,DBI,1201,1201,HOWARD,ST,3494.559303,243.937932,0,full
,3730001,3730001,3730,001,1101 HOWARD ST,1101,DBI,1101,1101,HOWARD,ST,10795.61058,415.812825,0,full
,3778001,3778001,3778,001,701 BRYANT ST,701,DBI,701,701,BRYANT,ST,13701.45055,489.280116,0,full
,3728001,3728001,3728,001,801-1201 MISSION ST,801-1201,DBI,801,1201,MISSION,ST,8119.81463,362.396966,0,full
